card_translate,base_card,abv_langue,type_card,name_card,attribut_card,family_card,sous_family_card,nature_card,Description pendule,description
ALIN-FR027,ALIN-027,FR,monstre à effet,Wurm Cyberténébreux,Ténèbres,Machine,,effet,,"Le nom de cette carte devient ""Cyber Dragon"" tant qu'elle est sur le Terrain ou dans le Cimetière. Si cette carte est dans votre main ou Cimetière, et que vous avez un autre monstre ""Cyber"" Machine dans votre Terrain ou Cimetière : vous pouvez envoyer 1 monstre ""Cyber Dragon"" depuis votre main ou Deck au Cimetière ; Invoquez Spécialement cette carte, puis vous pouvez ajouter 1 Magie/Piège ""Cyber"" depuis votre Cimetière à votre main. Vous ne pouvez utiliser cet effet de ""Wurm Cyberténébreux"" qu'une fois par Duel."
ALIN-FR028,ALIN-028,FR,monstre à effet,Live☆Jumelle Lil-la Sucreries,Ténèbres,Magicien,,effet,,"Lorsque votre adversaire active une carte ou un effet en réponse à l'activation de votre carte ou effet ""Live☆Jumelle"" (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet de l'adversaire. Si vous contrôlez un monstre ""Ki-sikil"" et que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, mais tant qu'elle est face recto dans la Zone Monstre, vous ne pouvez pas Invoquer Spécialement (monstres Démon exclus) depuis l'Extra Deck. Vous ne pouvez utiliser chaque effet de ""Live☆Jumelle Lil-la Sucreries"" qu'une fois par tour."
ALIN-FR029,ALIN-029,FR,monstre à effet,Crâne Serviteur Moissa,Ténèbres,Zombie,,effet,,"Le nom de cette carte devient ""Crâne Serviteur"" tant qu'elle est dans le Cimetière. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 ""Crâne Serviteur"" ou 1 carte qui le mentionne (""Crâne Serviteur Moissa"" exclu) depuis votre Deck à votre main, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres Zombie exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Crâne Serviteur Moissa"" qu'une fois par tour. Durant votre Main Phase, vous pouvez Invoquer Normalement 1 monstre Zombie de max. Niveau 4 en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)"
ALIN-FR030,ALIN-030,FR,monstre à effet,NT8000 - SIRIUS,Ténèbres,Machine,,effet,,"Cette carte liée ne peut pas être détruite au combat. Vous ne pouvez utiliser chacun des effets suivants de ""NT8000 - SIRIUS"" qu'une fois par tour. Durant le tour où un effet de Monstre Lien a été activé (Effet Rapide) : vous pouvez cibler 1 carte face recto que vous contrôlez et 1 carte face recto contrôlée par votre adversaire ; détruisez-les toutes les deux. Si cette carte est envoyée au Cimetière, sauf depuis le Terrain, et que vous contrôlez un Monstre Lien TÉNÈBRES : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain."
ALIN-FR031,ALIN-031,FR,monstre à effet,Dragon-Serpent Nocturne Malfaisant,Ténèbres,Dragon,,effet,,"Vous pouvez Sacrifier 1 monstre TÉNÈBRES depuis votre main ou Terrain ; Invoquez Spécialement cette carte depuis votre main. Vous ne pouvez utiliser cet effet de ""Dragon-Serpent Nocturne Malfaisant"" qu'une fois par tour. Lorsque cette carte est détruite au combat : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; envoyez-le au Cimetière, puis vous pouvez Invoquer Spécialement cette carte."
ALIN-FR032,ALIN-032,FR,monstre à effet,Pégase aux Ailes de Feu Cramoisies,Feu,Bête,,effet,,"Si votre adversaire contrôle plus de monstres que vous, vous pouvez Invoquer Spécialement cette carte (depuis votre main), et si vous le faites, elle peut attaquer directement ce tour. Vous ne pouvez Invoquer Spécialement ""Pégase aux Ailes de Feu Cramoisies"" qu'une fois par tour de cette façon. Lorsque votre adversaire active un effet de monstre sur le Terrain (Effet Rapide) : vous pouvez infliger des dommages à votre adversaire égaux au nombre du Maillon de la Chaîne de cet effet x 300, et aussi, cette carte ne peut pas être détruite par les effets activés avant celui-ci dans cette Chaîne. Vous ne pouvez utiliser cet effet de ""Pégase aux Ailes de Feu Cramoisies"" qu'une fois par tour."
ALIN-FR033,ALIN-033,FR,monstre à effet,Contrôleur Cérébral,Ténèbres,Psychique,Syntoniseur,effet,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 ""Contrôle Cérébral"" depuis votre Deck à votre main. Si vous payez des LP (sauf durant la Damage Step) : vous pouvez cibler 1 monstre face recto sur le Terrain, et déclarez un Niveau de 1 à 8 ; le monstre devient ce Niveau. Si cette carte est envoyée au Cimetière comme Matériel Synchro : vous pouvez Invoquer Spécialement cette carte sur le Terrain de votre adversaire en Position de Défense, mais annulez ses effets. Vous ne pouvez utiliser chaque effet de ""Contrôleur Cérébral"" qu'une fois par tour."
ALIN-FR034,ALIN-034,FR,monstre à effet,Place Détonante,Ténèbres,Magicien,,effet,,"Une fois par Chaîne (Effet Rapide) : vous pouvez payer 600 LP, puis activez 1 de ces effets ; ●Si vous contrôlez 6 monstres de Niveaux différents (1, 2, 3, 4, 5 et 6) : choisissez 1 monstre face recto contrôlé par votre adversaire avec un Niveau, et détruisez tous les autres monstres contrôlés par votre adversaire du même Niveau/Rang/Classification Lien que le monstre. ●Choisissez 1 monstre face recto que vous contrôlez avec un Niveau, et détruisez tous les monstres de votre adversaire dans la même colonne du même Niveau/Rang/Classification Lien que le monstre."
ALIN-FR035,ALIN-035,FR,Monstre Fusion,Azamina,Lumière,Illusion,,effet,,"Doit d'abord être soit Invoquée par Fusion, soit Invoquée Spécialement (depuis votre Extra Deck) en Sacrifiant 1 ""Sainte Azamina"" que vous contrôlez et 1 monstre face recto contrôlé par votre adversaire. Non destructible par des effets de carte. Chaque fois que votre adversaire active une carte ou un effet, tous les monstres qu'il contrôle perdent 500 ATK lorsqu'il est résolu. Votre adversaire ne peut pas activer les effets des monstres avec 0 ATK."
ALIN-FR036,ALIN-036,FR,Monstre Fusion,Ange Banni de la Terre d'Or,Ténèbres,Zombie,,effet,,"""Surnaliche le Seigneur d'Or"" + 1 monstre Zombie Uniquement soit Invocable par Fusion soit Invocable Spécialement (depuis votre Extra Deck) en Sacrifiant 1 monstre LUMIÈRE Zombie, tant que vous avez ""Surnaliche le Seigneur d'Or"" dans votre Terrain ou Cimetière. Vous ne pouvez Invoquer Spécialement ""Ange Banni de la Terre d'Or"" qu'une fois par tour de cette façon, peu importe la méthode que vous utilisez. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Surnaliche"" depuis votre Deck, Extra Deck ou Cimetière. Vous ne pouvez utiliser cet effet de ""Ange Banni de la Terre d'Or"" qu'une fois par tour."
ALIN-FR037,ALIN-037,FR,Monstre Fusion,Filia Regis,Ténèbres,Dragon,,effet,,"1 Monstre Fusion Dragon + 1 monstre Dragon de min. Niveau 7 Durant la Main Phase (Effet Rapide) : vous pouvez cibler 1 carte contrôlée par votre adversaire ou dans son Cimetière ; bannissez-la, puis si vous avez banni une carte sur le Terrain, renvoyez 1 monstre Dragon que vous contrôlez à la main. Au début de la Battle Phase de votre adversaire, si cette carte est dans votre Cimetière : vous pouvez renvoyer 1 monstre Dragon que vous contrôlez à la main ou Extra Deck, et si vous le faites, Invoquez Spécialement cette carte. Vous ne pouvez utiliser chaque effet de ""Filia Regis"" qu'une fois par tour."
ALIN-FR038,ALIN-038,FR,Monstre Synchronique,Dragon Sabre Pare-Feu,Ténèbres,Cyberse,,effet,,"1 Syntoniseur + 1+ monstre non-Syntoniseur Si cette carte est Invoquée par Synchronisation : vous pouvez cibler 1 monstre Cyberse dans votre Cimetière ou bannissement ; ajoutez-le à votre main. Vous pouvez cibler 1 autre monstre Cyberse que vous contrôlez avec un Niveau ; le Niveau de cette carte devient celui du monstre. Si cette carte est envoyée au Cimetière comme Matériel Lien : vous pouvez ajouter 1 Magie ""A.I."" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Dragon Sabre Pare-Feu"" qu'une fois par tour."
ALIN-FR039,ALIN-039,FR,Monstre Synchronique,Ancien Dragon de la Vie Féerique,Lumière,Dragon,,effet,,"1 Syntoniseur + 1+ monstre non-Syntoniseur Si cette carte est Invoquée par Synchronisation : vous pouvez piocher 1 carte, ou si ""Monde des Esprits"" est sur le Terrain, ajoutez 1 monstre LUMIÈRE (Bête, Plante ou Elfe) ou 1 ""Ensoleillement Éternel"" depuis votre Deck à votre main à la place. Vous ne pouvez utiliser cet effet de ""Ancien Dragon de la Vie Féerique"" qu'une fois par tour. Votre ""Ancien Dragon Féerique"" et les monstres qui le mentionnent peuvent attaquer tant qu'ils sont en Position de Défense face recto (appliquez leur DEF pour le calcul des dommages)."
ALIN-FR040,ALIN-040,FR,Monstre Synchronique,Dragon Vengeur de l'Œil de Serpent,Feu,Dragon,,effet,,"1 Syntoniseur + 1+ monstre non-Syntoniseur Durant la Main Phase (Effet Rapide) : vous pouvez cibler 1 monstre face recto sur le Terrain ou dans l'un des Cimetières ; placez-le face recto dans la Zone Magie & Piège de son propriétaire comme Magie Continue, et aussi, cette carte ne peut pas utiliser cet effet le prochain tour. Durant la Battle Phase (Effet Rapide) : vous pouvez cibler 1 monstre et 1 Magie Continue sur le Terrain ; détruisez-les. Vous ne pouvez utiliser chaque effet de ""Dragon Vengeur de l'Œil de Serpent"" qu'une fois par tour."
ALIN-FR041,ALIN-041,FR,Monstre Synchronique,Peuplier de la Forêt Blanche,Lumière,Illusion,,effet,,"1 Syntoniseur + 1+ monstre non-Syntoniseur Si cette carte est Invoquée Spécialement : vous pouvez cibler 2 monstres ""Forêt Blanche"" dans votre Cimetière ; placez-les face recto dans les Zones Magie & Piège de leur propriétaire comme Magies Continues. Durant la Main Phase de votre adversaire, vous pouvez (Effet Rapide) : immédiatement après la résolution de cet effet, Invoquez par Synchronisation en utilisant cette carte que vous contrôlez. Vous ne pouvez utiliser chaque effet de ""Peuplier de la Forêt Blanche"" qu'une fois par tour."
ALIN-FR042,ALIN-042,FR,Monstre Synchronique,Seigneur Légendaire des Six Samouraïs - Kizan,Terre,Guerrier,,effet,,"1 Syntoniseur + 1+ monstre non-Syntoniseur Durant la Battle Phase uniquement, les monstres ""Six Samouraïs"" que vous contrôlez gagnent 600 ATK/DEF. Vous ne pouvez utiliser chacun des effets suivants de ""Seigneur Légendaire des Six Samouraïs - Kizan"" qu'une fois par tour. Durant la Main Phase de votre adversaire (Effet Rapide) : vous pouvez bannir 1 carte ""Rafale Six"" depuis votre Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez-la. Si vous contrôlez min. 2 monstres ""Six Samouraïs"" : vous pouvez Invoquer Spécialement cette carte depuis le Cimetière."
ALIN-FR043,ALIN-043,FR,Monstre Synchronique,"Juraishin, le Dieu du Tonnerre Maudit",Terre,Psychique,,effet,,"1 Syntoniseur + 1+ monstre non-Syntoniseur Chaque fois que votre adversaire active une carte ou un effet, gagnez 300 LP lorsqu'il est résolu. Durant le tour de votre adversaire (Effet Rapide) : vous pouvez payer 1500 LP, et Sacrifiez cette carte, puis activez 1 de ces effets ; ●Détruisez tous les monstres face recto contrôlés par votre adversaire. ●Détruisez toutes les Magies et tous les Pièges face recto contrôlés par votre adversaire. Vous ne pouvez utiliser cet effet de ""Juraishin, le Dieu du Tonnerre Maudit"" qu'une fois par tour."
ALIN-FR044,ALIN-044,FR,Monstre XYZ,Codeur Igniteur,Ténèbres,Cyberse,,effet,,"2 monstres de Niveau 4 Si cette carte est Invoquée par Xyz : vous pouvez ajouter 1 Monstre Rituel Cyberse depuis votre Deck à votre main. Vous pouvez détacher 1 Matériel de cette carte ; Invoquez Rituellement 1 Monstre Rituel depuis votre main, en Sacrifiant des monstres depuis votre main ou Terrain dont le Niveau total est supérieur ou égal à son Niveau. Si cette carte est envoyée au Cimetière comme Matériel Lien : vous pouvez ajouter 1 Piège ""A.I."" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Codeur Igniteur"" qu'une fois par tour."
ALIN-FR045,ALIN-045,FR,Monstre XYZ,Numéro 69 : Emblème Héraldique - Flot Destructeur,Lumière,Psychique,,effet,,"4 monstres de Niveau 4 Vous pouvez aussi Invoquer par Xyz cette carte en utilisant un monstre que vous contrôlez dont le nom d'origine est ""Numéro 69 : Emblème Héraldique"". (Transférez ses Matériels à cette carte.) Lorsque votre adversaire active un effet de monstre sur le Terrain, ou qu'un monstre de l'adversaire déclare une attaque (Effet Rapide) : vous pouvez Invoquer Spécialement 1 ""Numéro 69 : Emblème Héraldique - Démolition de Matière Noire"" en utilisant cette carte face recto que vous contrôlez comme Matériel depuis votre Extra Deck, puis détruisez le monstre de l'adversaire. (Ceci est traité comme Invocation Xyz. Transférez les Matériels de cette carte.) Vous ne pouvez utiliser cet effet de ""Numéro 69 : Emblème Héraldique - Flot Destructeur"" qu'une fois par tour."
ALIN-FR046,ALIN-046,FR,Monstre XYZ,Numéro 69 : Emblème Héraldique - Démolition de Matière Noire,Lumière,Psychique,,effet,,"5 monstres de Niveau 4 Non destructible ni au combat ni par des effets de carte. Une fois par tour (Effet Rapide) : vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; le nom du monstre devient ""Inconnu"". Annulez les effets ""Inconnu"" activés par votre adversaire."
ALIN-FR047,ALIN-047,FR,Monstre XYZ,"Chasma, Maître Dragon des Aurores",Lumière,Dragon,,effet,,"2 monstres Dragon de Niveau 7 (Effet Rapide) : vous pouvez envoyer 1 monstre ""Maître Dragon"" de Niveau 7 depuis votre Deck au Cimetière, et détachez 1 Matériel de cette carte ; cet effet devient l'effet du monstre envoyé qui se défausse pour l'activer. Si cette carte est détruite au combat, ou si cette carte en possession de son propriétaire est détruite par un effet de carte de l'adversaire : vous pouvez Invoquer Spécialement 1 monstre ""Maître Dragon"" de Niveau 7 depuis votre Cimetière ou bannissement. Vous ne pouvez utiliser chaque effet de ""Chasma, Maître Dragon des Aurores"" qu'une fois par tour."
ALIN-FR048,ALIN-048,FR,Monstre XYZ,"Eclipse, Maître Dragon des Catastrophes",Ténèbres,Dragon,,effet,,"2 monstres Dragon de Niveau 7 Si cette carte est Invoquée par Xyz : vous pouvez cibler 1 monstre ""Maître Dragon"" de max. Niveau 4 dans votre Cimetière ou bannissement ; Invoquez Spécialement 1 monstre ""Maître Dragon"" de Niveau/Rang 7 qui est mentionné sur le monstre ciblé depuis votre Deck ou bannissement, puis mélangez le monstre ciblé dans le Deck. Lorsque votre adversaire active une Carte Magie/Piège ou effet de Magie/Piège (Effet Rapide) : vous pouvez détacher 2 Matériels de cette carte ; annulez l'activation, et si vous le faites, bannissez la carte. Vous ne pouvez utiliser chaque effet de ""Eclipse, Maître Dragon des Catastrophes"" qu'une fois par tour."
ALIN-FR049,ALIN-049,FR,Monstre XYZ,"Disaster, Maître Dragon de Toutes les Apocalypses",Lumière,Dragon,,effet,,"2 monstres de Rang 7 Si cette carte est Invoquée par Xyz : vous pouvez cibler max. 4 monstres ""Maître Dragon"" de Niveau 7 dans votre Cimetière et/ou bannissement ; attachez-les à cette carte, puis vous pouvez bannir tous les monstres depuis le Terrain et Cimetière de votre adversaire d'un même Attribut que les Matériels de cette carte. Vous ne pouvez utiliser cet effet de ""Disaster, Maître Dragon de Toutes les Apocalypses"" qu'une fois par tour. Tant que cette carte a des monstres ""Maître Dragon"" LUMIÈRE, TÉNÈBRES, TERRE, EAU, FEU et VENT comme Matériel, elle gagne 4600 ATK/DEF, et aussi, elle n'est pas affectée par les effets d'autres cartes."
ALIN-FR050,ALIN-050,FR,Monstre XYZ,Sabresaure Fulminant,Feu,Dinosaure,,effet,,"2 monstres de Niveau 4 Vous pouvez détacher 1 Matériel de cette carte ; détruisez 1 monstre Dinosaure dans votre main ou Terrain face recto, puis vous pouvez changer la position de combat d'1 monstre sur le Terrain. Au début de la Damage Step, si votre autre monstre Dinosaure combat : vous pouvez détruire cette carte, et si vous le faites, le monstre Dinosaure gagne 2000 ATK jusqu'à la fin de la Battle Phase. Vous ne pouvez utiliser chaque effet de ""Sabresaure Fulminant"" qu'une fois par tour."
ALIN-FR051,ALIN-051,FR,Monstre Lien,Codeur Bavard Allié @Ignister,Ténèbres,Cyberse,,effet,,"3+ Monstres à Effet Si cette carte est Invoquée par Lien : vous pouvez Invoquer Spécialement autant de monstres Cyberse avec 2300 ATK depuis votre Cimetière que possible dans vos zones pointées par cette carte, et si vous le faites, cette carte gagne 500 ATK pour chacun d'eux, et aussi, vous ne pouvez pas Invoquer Spécialement le reste de ce tour. Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez Sacrifier 1 de vos Monstres Lien pointés par cette carte ; annulez l'activation, et si vous le faites, bannissez la carte. Vous ne pouvez utiliser cet effet de ""Codeur Bavard Allié @Ignister"" qu'une fois par tour."
ALIN-FR052,ALIN-052,FR,Monstre Lien,Evil★Jumelle Ki-sikil Transaction,Lumière,Démon,,effet,,"1 monstre ""Ki-sikil"" Vous ne pouvez Invoquer par Lien ""Evil★Jumelle Ki-sikil Transaction"" qu'une fois par tour. Vous pouvez envoyer 1 monstre ""Lil-la"" depuis votre Deck ou Extra Deck au Cimetière ; ce tour, appliquez cet effet. ●Chaque fois que votre adversaire active une carte ou un effet en réponse à l'activation d'effet de votre monstre ""Ki-sikil"" ou ""Lil-la"", piochez 1 carte lorsque la carte/effet est résolu. Vous ne pouvez utiliser cet effet de ""Evil★Jumelle Ki-sikil Transaction"" qu'une fois par tour."
ALIN-FR053,ALIN-053,FR,Monstre Lien,"Dogurad, le Soldat de Pierre",Terre,Rocher,,effet,,"2+ monstres (un monstre Rocher inclus) Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre Rocher dans votre Cimetière ; cette carte gagne une ATK égale à l'ATK du monstre. Durant la Main Phase de votre adversaire (Effet Rapide) : vous pouvez cibler 1 autre monstre sur le Terrain avec une ATK inférieure ou égale à cette carte ; cette carte perd une ATK exactement égale à l'ATK du monstre, et si elle le fait, détruisez le monstre. Vous ne pouvez utiliser chaque effet de ""Dogurad, le Soldat de Pierre"" qu'une fois par tour."
ALIN-FR054,ALIN-054,FR,Magie,Connexion A.I.,,,,,,"Révélez 1 monstre Cyberse dans votre main ; appliquez cet effet selon son Attribut, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres Cyberse exclus) le reste de ce tour après la résolution de cette carte. ●TÉNÈBRES : Invoquez Spécialement le monstre révélé, et si vous le faites, ajoutez 1 monstre non-TÉNÈBRES Cyberse de max. Niveau 4 depuis votre Deck à votre main. ●Autre : Mélangez le monstre révélé dans le Deck, et si vous le faites, ajoutez 1 monstre ""@Ignister"" d'Attribut différent depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Connexion A.I."" par tour."
ALIN-FR055,ALIN-055,FR,Magie Terrain,Monde des Esprits,,,,,,"Lorsque cette carte est activée : vous pouvez ajouter 1 monstre qui mentionne ""Ancien Dragon Féerique"" depuis votre Deck à votre main. Vous ne pouvez activer les effets suivants que tant que vous contrôlez un Monstre Synchro LUMIÈRE Dragon de min. Niveau 7. Chaque fois qu'un ou plusieurs monstres sont Invoqués Spécialement en Position d'Attaque : changez-les en Position de Défense. Une fois par tour, durant la End Phase : détruisez tous les monstres en Position d'Attaque sur le Terrain du joueur du tour. Vous ne pouvez activer qu'1 ""Monde des Esprits"" par tour."
ALIN-FR056,ALIN-056,FR,Magie Jeu-Rapide,Flash Héraldique,,,,,,"Ciblez un nombre de votre choix de monstres face recto contrôlés par votre adversaire ; le nom de ces monstres devient ""Inconnu"". Durant votre End Phase, si vous contrôlez un Monstre Xyz Psychique et que cette carte est dans votre Cimetière : vous pouvez Poser cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Flash Héraldique"" qu'une fois par tour."
ALIN-FR057,ALIN-057,FR,Magie,Filia Diabell,,,,,,"Ajoutez 1 monstre ""Diabell"" de min. Niveau 8 depuis votre Deck à votre main, ou si uniquement votre adversaire contrôle un monstre, vous pouvez l'Invoquer Spécialement à la place. Si cette carte est bannie : vous pouvez faire gagner 500 ATK à tous les monstres ""Diabell"" que vous contrôlez actuellement. Vous ne pouvez utiliser chaque effet de ""Filia Diabell"" qu'une fois par tour."
ALIN-FR058,ALIN-058,FR,Magie Terrain,Sorcière de la Forêt Blanche,,,,,,"Lorsque cette carte est activée : vous pouvez ajouter 1 monstre ""Forêt Blanche"" depuis votre Deck à votre main, mais vous ne pouvez pas Invoquer Spécialement de monstres TÉNÈBRES depuis l'Extra Deck le reste de ce tour. La première fois que chaque monstre ""Forêt Blanche"" que vous contrôlez va être détruit au combat chaque tour, il n'est pas détruit. Vous pouvez cibler 1 monstre ""Forêt Blanche"" que vous contrôlez ; ce tour, il est traité comme Syntoniseur. Vous ne pouvez utiliser cet effet de ""Sorcière de la Forêt Blanche"" qu'une fois par tour. Vous ne pouvez activer qu'1 ""Sorcière de la Forêt Blanche"" par tour."
ALIN-FR059,ALIN-059,FR,Magie,Regenèse,,,,,,"Prenez 1 monstre ""Regenèse"" depuis votre Deck, et soit ajoutez-le à votre main soit envoyez-le au Cimetière, ou si vous contrôlez un monstre ""Regenèse"", vous pouvez ajouter 1 monstre avec 2500 ATK/DEF depuis votre Deck à votre main à la place. Si cette carte est dans votre Cimetière, sauf le tour où elle y a été envoyée : vous pouvez la bannir, puis ciblez 1 monstre ""Regenèse"" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Regenèse"" qu'une fois par tour."
ALIN-FR060,ALIN-060,FR,Magie Jeu-Rapide,Code de la Regenèse,,,,,,"Invoquez Spécialement 1 monstre ""Regenèse""""Regenèse"" depuis votre Deck (mais envoyez-le au Cimetière durant la End Phase de votre adversaire), et aussi, vous ne pouvez pas Invoquer Spécialement depuis l'Extra Deck jusqu'à la fin du prochain tour après la résolution de cette carte. Durant votre Main Phase, si cette carte est dans votre Cimetière, sauf le tour où elle y a été envoyée : vous pouvez la bannir, puis ciblez 1 de vos monstres ""Regenèse"" bannis ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Code de la Regenèse"" qu'une fois par tour."
